stop_lat,stop_code,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
37.73494,14689,-122.41365,https://SFMTA.com/14689,4689,,Folsom St & Crescent Ave,0,
37.780386,14659,-122.403099,https://SFMTA.com/14659,4659,,Folsom St & 5th St,0,
37.782045,14658,-122.401104,https://SFMTA.com/14658,4658,,Folsom St & 4th St,0,
37.718234,14784,-122.388272,https://SFMTA.com/14784,4784,,Gilman Ave & Griffith St,0,
37.789509,17992,-122.391905,https://SFMTA.com/17992,7992,,Main St&Folsom St NE-FS/BZ,0,
37.743046,17888,-122.405402,https://SFMTA.com/17888,7888,,Bayshore Blvd & Oakdale Ave,0,
37.747584,17885,-122.501583,https://SFMTA.com/17885,7885,,Quintra St & 43rd Ave,0,
37.781826,17884,-122.413793,https://SFMTA.com/17884,7884,,Golden Gate Ave & Leavenworth St,0,
37.744616,17887,-122.404187,https://SFMTA.com/17887,7887,,201 Bayshore Blvd E,0,
37.742377,17886,-122.405609,https://SFMTA.com/17886,7886,,Bayshore Blvd & Flower St,0,
37.751494,15821,-122.456224,https://SFMTA.com/15821,5821,,Olympia Way & Clarendon Ave,0,
37.790098,17995,-122.391091,https://SFMTA.com/17995,7995,,Spear St & Folsom St,0,
37.755304,15820,-122.455411,https://SFMTA.com/15820,5820,,Oakpark Dr & Forest Knolls Dr,0,
37.792437,17994,-122.394047,https://SFMTA.com/17994,7994,,Spear St & Mission St,0,
37.75128,15823,-122.453073,https://SFMTA.com/15823,5823,,Olympia Way & Dellbrook Ave,0,
37.74183,13690,-122.40978,https://SFMTA.com/13690,3690,,Bernal Heights Blvd & Bradford St,0,
37.737761,17867,-122.428294,https://SFMTA.com/17867,7867,,Miguel ST & Laidley ST,0,
37.76665,17866,-122.39253,https://SFMTA.com/17866,7866,,16th St & Owen St,0,
37.766722,17865,-122.392805,https://SFMTA.com/17865,7865,,16th Street & Owen St,0,
37.794784,18094,-122.423199,https://SFMTA.com/18094,8094,,Van Ness Ave & Pacific St,0,
37.796527,17863,-122.401909,https://SFMTA.com/17863,7863,,Sansome St & Jackson St,0,
37.798392,17862,-122.402343,https://SFMTA.com/17862,7862,,Broadway & Sansome St,0,
37.728895,17860,-122.370154,https://SFMTA.com/17860,7860,,Donahue St & Innes Ave,0,
37.73992,14149,-122.41997,https://SFMTA.com/14149,4149,,Cortland Ave & Elsie St,0,
37.737752,17868,-122.428248,https://SFMTA.com/17868,7868,,Miguel ST & Laidley ST,0,
37.718722,14811,-122.443554,https://SFMTA.com/14811,4811,,Geneva Ave & Cayuga Ave,0,
37.718927,14810,-122.443554,https://SFMTA.com/14810,4810,,Geneva Ave & Cayuga Ave,0,
37.73004,14817,-122.37711,https://SFMTA.com/14817,4817,,Kiska Rd & Reardon Rd,0,
37.752885,15827,-122.466479,https://SFMTA.com/15827,5827,,Ortega St & 10th Ave,0,
37.792878,14819,-122.404364,https://SFMTA.com/14819,4819,,Kearny St & California St,0,
37.791004,14818,-122.403976,https://SFMTA.com/14818,4818,,Kearny St & Bush St,0,
37.74151,13691,-122.41067,https://SFMTA.com/13691,3691,,Bernal Heights Blvd & Powhattan Ave,0,
37.7393,14145,-122.41846,https://SFMTA.com/14145,4145,,Cortland Ave & Bocana St,0,
37.729166,13150,-122.392776,https://SFMTA.com/13150,3150,,3rd St & Williams Ave,0,
37.71672,16371,-122.39993,https://SFMTA.com/16371,6371,,San Bruno Ave & Wilde Ave,0,
37.72531,16372,-122.40271,https://SFMTA.com/16372,6372,,San Bruno Ave & Woolsey St,0,
37.72637,16373,-122.40301,https://SFMTA.com/16373,6373,,San Bruno Ave & Wayland St,0,
37.733202,16374,-122.465798,https://SFMTA.com/16374,6374,,Santa Clara Ave & Monterey Blvd,0,
37.734861,16375,-122.466154,https://SFMTA.com/16375,6375,,Santa Clara Ave & Saint Francis Blvd,0,
37.73904,14143,-122.41658,https://SFMTA.com/14143,4143,,Cortland Ave & Andover St,0,
37.73909,14142,-122.41639,https://SFMTA.com/14142,4142,,Cortland Ave & Andover St,0,
37.749001,13519,-122.417818,https://SFMTA.com/13519,3519,,26th St & Mission St,0,
37.805022,14529,-122.403314,https://SFMTA.com/14529,4529,,The Embarcadero & Sansome St,0,
37.752162,13513,-122.398293,https://SFMTA.com/13513,3513,,25th St & Wisconsin St,0,
37.75224,13512,-122.39831,https://SFMTA.com/13512,3512,,25th St & Wisconsin St,0,
37.751407,13511,-122.40668,https://SFMTA.com/13511,3511,,25th St & Potrero Ave,0,
37.750753,13517,-122.400024,https://SFMTA.com/13517,3517,,26th St & De Haro St,0,
37.75086,13516,-122.40015,https://SFMTA.com/13516,3516,,26th St & De Haro St,0,
37.751377,17263,-122.431991,https://SFMTA.com/17263,7263,,24th St & Noe St,0,
37.74815,13514,-122.43363,https://SFMTA.com/13514,3514,,26th St & Castro St,0,
37.758499,16204,-122.40207,https://SFMTA.com/16204,6204,,Rhode Island St & Southern Heights Ave,0,
37.750727,16200,-122.401342,https://SFMTA.com/16200,6200,,Rhode Island St & 26th St,0,
37.768742,16201,-122.403038,https://SFMTA.com/16201,6201,,Rhode Island St & Alameda St,0,
37.768573,16202,-122.402843,https://SFMTA.com/16202,6202,,Rhode Island St & Alameda St,0,
37.763264,16203,-122.402525,https://SFMTA.com/16203,6203,,Rhode Island St & Mariposa St,0,
37.744368,16208,-122.410465,https://SFMTA.com/16208,6208,,Ripley St & Alabama St,0,
37.74428,16209,-122.41051,https://SFMTA.com/16209,6209,,Ripley St & Alabama St,0,
37.77057,15675,-122.424971,https://SFMTA.com/15675,5675,,Market St & Guerrero St,0,
37.804287,16806,-122.424996,https://SFMTA.com/16806,6806,,Van Ness Ave & Bay St,0,
37.80258,16800,-122.42464,https://SFMTA.com/16800,6800,,Van Ness Ave & Chestnut St,0,
37.802431,16801,-122.424905,https://SFMTA.com/16801,6801,,Van Ness Ave & Chestnut St,0,
37.773536,13206,-122.408376,https://SFMTA.com/13206,3206,,8th St & Harrison St,0,
37.774767,13205,-122.409922,https://SFMTA.com/13205,3205,,8th St & Folsom St,0,
37.772447,13204,-122.406932,https://SFMTA.com/13204,3204,,8th St & Bryant St,0,
37.771179,13203,-122.405386,https://SFMTA.com/13203,3203,,8th St & Brannan St,0,
37.78869,15187,-122.41361,https://SFMTA.com/15187,5187,,Jones St & Sutter St,0,
37.773639,13201,-122.465808,https://SFMTA.com/13201,3201,,8th Ave & Fulton St,0,
37.78686,15185,-122.41325,https://SFMTA.com/15185,5185,,Jones St & Geary St,0,
37.762299,15189,-122.462001,https://SFMTA.com/15189,5189,,Judah St & 5th Ave,0,
37.778498,13209,-122.414597,https://SFMTA.com/13209,3209,,8th St & Market St,0,
37.77724,13208,-122.413027,https://SFMTA.com/13208,3208,,8th St & Mission St,0,
37.804795,15059,-122.4201,https://SFMTA.com/15059,5059,,Hyde St & Bay St,0,
37.79969,16762,-122.415665,https://SFMTA.com/16762,6762,,Union St & Jones St,0,
37.776133,17677,-122.411606,https://SFMTA.com/17677,7677,,8th St & Howard,0,
37.716419,17671,-122.441012,https://SFMTA.com/17671,7671,,Geneva Ave & Mission St,0,
37.805803,15458,-122.420226,https://SFMTA.com/15458,5458,,North Point St & Hyde St,0,
37.805633,15459,-122.420467,https://SFMTA.com/15459,5459,,North Point St & Hyde St,0,
37.761762,13348,-122.421732,https://SFMTA.com/13348,3348,,18th St & Valencia St,0,
37.761663,13349,-122.421423,https://SFMTA.com/13349,3349,,18th St & Valencia St,0,
